data;1USD;1AUD;1CAD;1EUR;100HUF;1CHF;1GBP;100JPY;1CZK;1DKK;1NOK;1SEK;1XDR;nr tabeli;pe³ny numer tabeli;
;dolar amerykañski;dolar australijski;dolar kanadyjski;euro;forint (Wêgry);frank szwajcarski;funt szterling;jen (Japonia);korona czeska;korona duñska;korona norweska;korona szwedzka;SDR (MFW);
20150102;3,5423;2,9022;3,0558;4,3049;1,3673;3,5801;5,5194;2,9647;0,1552;0,5782;0,4782;0,4577;5,1276;1;001/C/NBP/2015;
20150105;3,6082;2,9384;3,0943;4,3509;1,3647;3,6191;5,5849;2,9968;0,1570;0,5846;0,4809;0,4592;5,1920;2;002/C/NBP/2015;
20150107;3,6370;2,9432;3,0892;4,3412;1,3626;3,6132;5,5408;3,0442;0,1569;0,5835;0,4769;0,4581;5,2229;3;003/C/NBP/2015;
20150108;3,6792;2,9603;3,1063;4,3482;1,3612;3,6204;5,5486;3,0784;0,1564;0,5844;0,4764;0,4620;5,2301;4;004/C/NBP/2015;
20150109;3,6720;2,9795;3,1070;4,3311;1,3662;3,6061;5,5395;3,0716;0,1551;0,5822;0,4794;0,4565;5,2327;5;005/C/NBP/2015;
20150112;3,6489;2,9827;3,0747;4,3006;1,3593;3,5809;5,5185;3,0627;0,1524;0,5780;0,4754;0,4533;5,2030;6;006/C/NBP/2015;
20150113;3,6515;2,9769;3,0664;4,3232;1,3561;3,5998;5,5393;3,0850;0,1523;0,5811;0,4721;0,4517;5,2324;7;007/C/NBP/2015;
20150114;3,6791;2,9957;3,0819;4,3268;1,3572;3,6026;5,5744;3,1019;0,1522;0,5816;0,4748;0,4569;5,2476;8;008/C/NBP/2015;
20150115;3,6725;2,9926;3,0762;4,3299;1,3513;3,6054;5,5883;3,1496;0,1536;0,5821;0,4794;0,4554;5,2560;9;009/C/NBP/2015;
20150116;3,7263;3,0607;3,1240;4,3371;1,3516;4,2131;5,6672;3,1925;0,1551;0,5832;0,4855;0,4597;5,2883;10;010/C/NBP/2015;
20150119;3,7807;3,0901;3,1412;4,3640;1,3613;4,4128;5,7237;3,2284;0,1568;0,5870;0,4970;0,4656;5,3571;11;011/C/NBP/2015;
20150120;3,7577;3,0894;3,1362;4,3671;1,3668;4,3070;5,6964;3,1979;0,1564;0,5874;0,4917;0,4627;5,3610;12;012/C/NBP/2015;
20150121;3,7769;3,0924;3,1283;4,3758;1,3757;4,3386;5,7332;3,1877;0,1568;0,5885;0,4948;0,4627;5,3663;13;013/C/NBP/2015;
20150122;3,7342;3,0727;3,0961;4,3492;1,3817;4,3610;5,6493;3,1817;0,1554;0,5849;0,4946;0,4602;5,3289;14;014/C/NBP/2015;
20150123;3,7530;3,0456;3,0370;4,3016;1,3721;4,3519;5,6775;3,1950;0,1545;0,5779;0,4908;0,4591;5,2693;15;015/C/NBP/2015;
20150126;3,7865;2,9996;3,0504;4,2583;1,3741;4,3374;5,6826;3,2171;0,1531;0,5721;0,4886;0,4569;5,3285;16;016/C/NBP/2015;
20150127;3,7767;2,9902;3,0394;4,2563;1,3684;4,2248;5,6839;3,1932;0,1533;0,5716;0,4866;0,4558;5,3140;17;017/C/NBP/2015;
20150128;3,7604;2,9952;3,0310;4,2770;1,3722;4,1873;5,7077;3,2025;0,1535;0,5746;0,4865;0,4597;5,3219;18;018/C/NBP/2015;
20150129;3,7851;3,0112;3,0405;4,2804;1,3732;4,1815;5,7451;3,2110;0,1539;0,5750;0,4858;0,4603;5,3269;19;019/C/NBP/2015;
20150130;3,7587;2,9245;2,9926;4,2614;1,3704;4,0867;5,6845;3,1886;0,1532;0,5725;0,4832;0,4565;5,3062;20;020/C/NBP/2015;
20150202;3,7499;2,9066;2,9380;4,2395;1,3611;4,0391;5,6365;3,1880;0,1528;0,5694;0,4819;0,4541;5,2868;21;021/C/NBP/2015;
20150203;3,7191;2,9050;2,9538;4,2187;1,3573;4,0077;5,6014;3,1646;0,1520;0,5667;0,4852;0,4495;5,2610;22;022/C/NBP/2015;
20150204;3,6817;2,8371;2,9426;4,2133;1,3622;3,9819;5,5607;3,1313;0,1517;0,5659;0,4868;0,4472;5,2216;23;023/C/NBP/2015;
20150205;3,6860;2,8581;2,9457;4,2026;1,3636;3,9773;5,6072;3,1374;0,1515;0,5646;0,4875;0,4461;5,2006;24;024/C/NBP/2015;
20150206;3,6864;2,8713;2,9546;4,2106;1,3724;3,9737;5,6374;3,1384;0,1519;0,5654;0,4887;0,4457;5,2105;25;025/C/NBP/2015;
20150209;3,7067;2,8975;2,9714;4,2031;1,3718;3,9946;5,6558;3,1196;0,1518;0,5646;0,4907;0,4450;5,2148;26;026/C/NBP/2015;
20150210;3,7365;2,9205;3,0044;4,2335;1,3727;4,0504;5,6898;3,1471;0,1526;0,5687;0,4921;0,4471;5,2924;27;027/C/NBP/2015;
20150211;3,7493;2,9113;2,9919;4,2410;1,3712;4,0544;5,7113;3,1408;0,1530;0,5697;0,4951;0,4503;5,2843;28;028/C/NBP/2015;
20150212;3,7749;2,9097;2,9836;4,2638;1,3741;4,0710;5,7580;3,1388;0,1540;0,5728;0,4942;0,4497;5,3095;29;029/C/NBP/2015;
20150213;3,7088;2,8599;2,9729;4,2233;1,3799;3,9929;5,6979;3,1151;0,1524;0,5673;0,4831;0,4387;5,2591;30;030/C/NBP/2015;
20150216;3,7005;2,8749;2,9741;4,2241;1,3778;3,9811;5,7044;3,1121;0,1528;0,5675;0,4884;0,4401;5,2537;31;031/C/NBP/2015;
20150217;3,6999;2,8744;2,9645;4,2213;1,3771;3,9729;5,6890;3,1214;0,1528;0,5670;0,4894;0,4408;5,2502;32;032/C/NBP/2015;
20150218;3,7081;2,8949;2,9858;4,2279;1,3742;3,9797;5,6902;3,1192;0,1530;0,5679;0,4920;0,4441;5,2465;33;033/C/NBP/2015;
20150219;3,7239;2,8991;2,9900;4,2294;1,3784;3,9516;5,7449;3,1219;0,1541;0,5681;0,4948;0,4425;5,2573;34;034/C/NBP/2015;
20150220;3,6979;2,8770;2,9529;4,2052;1,3761;3,9044;5,7047;3,1078;0,1537;0,5648;0,4878;0,4400;5,2268;35;035/C/NBP/2015;
20150223;3,7408;2,9240;2,9799;4,2238;1,3785;3,9542;5,7440;3,1607;0,1538;0,5666;0,4925;0,4436;5,2764;36;036/C/NBP/2015;
20150224;3,7241;2,9069;2,9637;4,2208;1,3822;3,9325;5,7473;3,1334;0,1539;0,5653;0,4883;0,4418;5,2699;37;037/C/NBP/2015;
20150225;3,7246;2,8900;2,9436;4,2106;1,3772;3,9103;5,7400;3,1093;0,1533;0,5644;0,4885;0,4421;5,2572;38;038/C/NBP/2015;
20150226;3,7070;2,9228;2,9771;4,2069;1,3798;3,9058;5,7440;3,1153;0,1535;0,5634;0,4884;0,4448;5,2416;39;039/C/NBP/2015;
20150227;3,7346;2,9230;2,9893;4,1921;1,3840;3,9151;5,7580;3,1349;0,1523;0,5616;0,4896;0,4463;5,2385;40;040/C/NBP/2015;
20150302;3,7486;2,9247;3,0019;4,1939;1,3834;3,9493;5,7764;3,1402;0,1527;0,5619;0,4903;0,4483;5,2408;41;041/C/NBP/2015;
20150303;3,7438;2,9112;2,9810;4,1976;1,3789;3,9109;5,7595;3,1237;0,1528;0,5631;0,4875;0,4492;5,2559;42;042/C/NBP/2015;
20150304;3,7555;2,9442;3,0171;4,2055;1,3742;3,9187;5,7792;3,1443;0,1532;0,5642;0,4879;0,4543;5,2852;43;043/C/NBP/2015;
20150305;3,7988;2,9684;3,0306;4,2134;1,3748;3,9554;5,8080;3,1726;0,1532;0,5651;0,4877;0,4553;5,3109;44;044/C/NBP/2015;
20150306;3,7890;2,9534;3,0403;4,1807;1,3707;3,9112;5,7776;3,1568;0,1529;0,5609;0,4896;0,4539;5,2697;45;045/C/NBP/2015;
20150309;3,8383;2,9628;3,0428;4,1683;1,3666;3,9060;5,7837;3,1704;0,1527;0,5596;0,4880;0,4534;5,2924;46;046/C/NBP/2015;
20150310;3,8320;2,9609;3,0423;4,1575;1,3611;3,8895;5,7859;3,1653;0,1525;0,5579;0,4842;0,4518;5,3099;47;047/C/NBP/2015;
20150311;3,8946;2,9860;3,0884;4,1900;1,3632;3,9082;5,8737;3,2152;0,1535;0,5623;0,4826;0,4571;5,3871;48;048/C/NBP/2015;
20150312;3,9499;2,9914;3,0947;4,1779;1,3740;3,9203;5,9101;3,2559;0,1532;0,5602;0,4810;0,4571;5,4314;49;049/C/NBP/2015;
20150313;3,9231;3,0234;3,0964;4,1738;1,3770;3,9194;5,8629;3,2387;0,1528;0,5598;0,4848;0,4552;5,4129;50;050/C/NBP/2015;
20150316;3,9925;3,0493;3,1215;4,1996;1,3710;3,9630;5,8851;3,2940;0,1537;0,5631;0,4860;0,4598;5,4457;51;051/C/NBP/2015;
20150317;3,9479;3,0191;3,0806;4,1713;1,3736;3,9222;5,8328;3,2549;0,1530;0,5588;0,4774;0,4556;5,4100;52;052/C/NBP/2015;
20150318;3,9438;3,0108;3,0905;4,1870;1,3757;3,9310;5,8176;3,2509;0,1541;0,5613;0,4750;0,4554;5,4035;53;053/C/NBP/2015;
