data;1USD;1AUD;1CAD;1EUR;100HUF;1CHF;1GBP;100JPY;1CZK;1DKK;1NOK;1SEK;1XDR;nr tabeli;pe³ny numer tabeli;
;dolar amerykañski;dolar australijski;dolar kanadyjski;euro;forint (Wêgry);frank szwajcarski;funt szterling;jen (Japonia);korona czeska;korona duñska;korona norweska;korona szwedzka;SDR (MFW);
20130102;3,1306;3,2505;3,1484;4,1291;1,4117;3,4207;5,0620;3,6365;0,1646;0,5535;0,5608;0,4805;4,8139;1;001/C/NBP/2013;
20130103;3,1007;3,2610;3,1495;4,1102;1,4126;3,3987;5,0572;3,5551;0,1632;0,5510;0,5620;0,4800;4,7735;2;002/C/NBP/2013;
20130104;3,1502;3,3138;3,1970;4,1272;1,4205;3,4117;5,0905;3,6227;0,1634;0,5533;0,5657;0,4829;4,8308;3;003/C/NBP/2013;
20130107;3,1788;3,3243;3,2254;4,1511;1,4289;3,4332;5,1037;3,6195;0,1638;0,5565;0,5678;0,4856;4,8648;4;004/C/NBP/2013;
20130108;3,1904;3,3449;3,2316;4,1655;1,4309;3,4460;5,1259;3,6341;0,1631;0,5584;0,5688;0,4881;4,8791;5;005/C/NBP/2013;
20130109;3,1807;3,3366;3,2213;4,1626;1,4245;3,4437;5,1072;3,6420;0,1625;0,5579;0,5681;0,4858;4,8736;6;006/C/NBP/2013;
20130110;3,1791;3,3452;3,2237;4,1483;1,4280;3,4310;5,0899;3,6219;0,1624;0,5561;0,5675;0,4835;4,8559;7;007/C/NBP/2013;
20130111;3,1350;3,3161;3,1778;4,1349;1,4132;3,4150;5,0451;3,5572;0,1613;0,5542;0,5663;0,4827;4,8242;8;008/C/NBP/2013;
20130114;3,1121;3,2813;3,1668;4,1516;1,3995;3,4071;5,0143;3,4842;0,1619;0,5564;0,5631;0,4804;4,8032;9;009/C/NBP/2013;
20130115;3,1171;3,2907;3,1607;4,1622;1,4035;3,3952;5,0044;3,4957;0,1625;0,5577;0,5654;0,4828;4,8019;10;010/C/NBP/2013;
20130116;3,1197;3,2865;3,1655;4,1592;1,4110;3,3573;5,0048;3,5115;0,1626;0,5573;0,5614;0,4812;4,8050;11;011/C/NBP/2013;
20130117;3,1403;3,3118;3,1839;4,1683;1,4113;3,3727;5,0181;3,5531;0,1630;0,5586;0,5628;0,4827;4,8155;12;012/C/NBP/2013;
