data;1USD;1AUD;1CAD;1EUR;100HUF;1CHF;1GBP;100JPY;1CZK;1DKK;1NOK;1SEK;1XDR;nr tabeli;pe³ny numer tabeli;
;dolar amerykañski;dolar australijski;dolar kanadyjski;euro;forint (Wêgry);frank szwajcarski;funt szterling;jen (Japonia);korona czeska;korona duñska;korona norweska;korona szwedzka;SDR (MFW);
20140102;2,9819;2,6595;2,8014;4,1057;1,3829;3,3478;4,9330;2,8402;0,1498;0,5504;0,4903;0,4647;4,5874;1;001/C/NBP/2014;
20140103;3,0244;2,6944;2,8540;4,1248;1,3839;3,3542;4,9667;2,8831;0,1499;0,5530;0,4915;0,4648;4,6087;2;002/C/NBP/2014;
20140107;3,0309;2,7265;2,8537;4,1251;1,3819;3,3558;4,9754;2,9024;0,1498;0,5530;0,4945;0,4662;4,6432;3;003/C/NBP/2014;
20140108;3,0321;2,7050;2,8295;4,1303;1,3770;3,3395;4,9694;2,8977;0,1505;0,5536;0,4917;0,4656;4,6473;4;004/C/NBP/2014;
20140109;3,0393;2,7181;2,8134;4,1340;1,3777;3,3408;4,9994;2,8997;0,1505;0,5541;0,4909;0,4635;4,6598;5;005/C/NBP/2014;
20140110;3,0462;2,7083;2,8084;4,1339;1,3819;3,3475;5,0133;2,9030;0,1508;0,5541;0,4911;0,4631;4,6564;6;006/C/NBP/2014;
20140113;3,0150;2,7077;2,7622;4,1233;1,3824;3,3444;4,9750;2,8956;0,1506;0,5525;0,4901;0,4642;4,6511;7;007/C/NBP/2014;
20140114;3,0121;2,7322;2,7693;4,1124;1,3768;3,3388;4,9294;2,9177;0,1503;0,5511;0,4918;0,4630;4,6313;8;008/C/NBP/2014;
20140115;3,0056;2,6967;2,7503;4,1088;1,3720;3,3325;4,9372;2,8987;0,1499;0,5506;0,4925;0,4663;4,6228;9;009/C/NBP/2014;
20140116;3,0303;2,7015;2,7657;4,1173;1,3718;3,3311;4,9517;2,9011;0,1501;0,5517;0,4941;0,4680;4,6431;10;010/C/NBP/2014;
20140117;3,0291;2,6667;2,7750;4,1283;1,3742;3,3450;4,9559;2,9041;0,1503;0,5532;0,4912;0,4689;4,6534;11;011/C/NBP/2014;
20140120;3,0351;2,6674;2,7706;4,1216;1,3700;3,3449;4,9892;2,9104;0,1501;0,5523;0,4926;0,4692;4,6529;12;012/C/NBP/2014;
20140121;3,0361;2,6732;2,7723;4,1172;1,3644;3,3383;4,9897;2,9180;0,1495;0,5517;0,4912;0,4686;4,6480;13;013/C/NBP/2014;
20140122;3,0442;2,6823;2,7735;4,1204;1,3616;3,3366;5,0133;2,9151;0,1496;0,5522;0,4925;0,4685;4,6515;14;014/C/NBP/2014;
20140123;3,0422;2,6947;2,7721;4,1248;1,3650;3,3398;5,0383;2,9131;0,1499;0,5528;0,4938;0,4694;4,6609;15;015/C/NBP/2014;
20140124;3,0223;2,6585;2,7205;4,1298;1,3558;3,3530;5,0189;2,9180;0,1503;0,5535;0,4950;0,4705;4,6532;16;016/C/NBP/2014;
20140127;3,0379;2,6453;2,7421;4,1559;1,3596;3,3935;5,0111;2,9685;0,1512;0,5570;0,4944;0,4715;4,6854;17;017/C/NBP/2014;
20140128;3,0440;2,6634;2,7566;4,1619;1,3614;3,3954;5,0471;2,9650;0,1514;0,5578;0,4931;0,4730;4,6925;18;018/C/NBP/2014;
20140129;3,0375;2,6663;2,7207;4,1526;1,3640;3,3835;5,0398;2,9553;0,1510;0,5565;0,4944;0,4714;4,6798;19;019/C/NBP/2014;
20140130;3,0502;2,6715;2,7400;4,1679;1,3493;3,4077;5,0539;2,9857;0,1515;0,5586;0,4934;0,4729;4,7152;20;020/C/NBP/2014;
20140131;3,0803;2,7067;2,7575;4,1838;1,3477;3,4182;5,0855;3,0024;0,1518;0,5607;0,4943;0,4732;4,7351;21;021/C/NBP/2014;
20140203;3,1193;2,7173;2,7868;4,2068;1,3443;3,4415;5,1359;3,0496;0,1531;0,5637;0,4961;0,4773;4,7752;22;022/C/NBP/2014;
20140204;3,1043;2,7350;2,8095;4,1922;1,3417;3,4335;5,0802;3,0547;0,1522;0,5618;0,4963;0,4758;4,7563;23;023/C/NBP/2014;
20140205;3,0898;2,7524;2,7886;4,1746;1,3467;3,4147;5,0369;3,0470;0,1516;0,5593;0,4915;0,4732;4,7313;24;024/C/NBP/2014;
20140206;3,0718;2,7359;2,7653;4,1504;1,3471;3,3961;4,9989;3,0311;0,1506;0,5562;0,4903;0,4697;4,6952;25;025/C/NBP/2014;
20140207;3,0488;2,7327;2,7470;4,1488;1,3461;3,3924;4,9757;2,9965;0,1507;0,5560;0,4920;0,4699;4,7101;26;026/C/NBP/2014;
20140210;3,0453;2,7300;2,7680;4,1372;1,3435;3,3779;4,9906;2,9729;0,1503;0,5545;0,4920;0,4681;4,6747;27;027/C/NBP/2014;
20140211;3,0361;2,7123;2,7467;4,1387;1,3293;3,3818;4,9771;2,9712;0,1502;0,5546;0,4942;0,4679;4,6642;28;028/C/NBP/2014;
20140212;3,0302;2,7315;2,7396;4,1362;1,3295;3,3803;4,9834;2,9603;0,1504;0,5543;0,4946;0,4709;4,6535;29;029/C/NBP/2014;
20140213;3,0335;2,7445;2,7591;4,1179;1,3357;3,3598;5,0225;2,9592;0,1496;0,5519;0,4947;0,4696;4,6602;30;030/C/NBP/2014;
20140214;3,0160;2,7067;2,7412;4,1218;1,3223;3,3741;5,0149;2,9603;0,1498;0,5524;0,4940;0,4670;4,6646;31;031/C/NBP/2014;
20140217;3,0013;2,7092;2,7331;4,1076;1,3256;3,3615;5,0169;2,9467;0,1501;0,5504;0,4919;0,4646;4,6273;32;032/C/NBP/2014;
20140218;2,9939;2,7032;2,7307;4,1027;1,3299;3,3564;5,0033;2,9379;0,1497;0,5498;0,4925;0,4642;4,6217;33;033/C/NBP/2014;
20140219;2,9853;2,6973;2,7230;4,1070;1,3229;3,3621;4,9897;2,9164;0,1501;0,5504;0,4933;0,4606;4,6178;34;034/C/NBP/2014;
20140220;3,0027;2,7119;2,7236;4,1303;1,3191;3,3816;5,0082;2,9392;0,1508;0,5535;0,4965;0,4620;4,6439;35;035/C/NBP/2014;
20140221;3,0101;2,6992;2,7186;4,1308;1,3231;3,3849;5,0210;2,9476;0,1508;0,5535;0,4922;0,4603;4,6501;36;036/C/NBP/2014;
20140224;2,9906;2,6854;2,6876;4,1119;1,3268;3,3694;4,9955;2,9136;0,1502;0,5510;0,4925;0,4579;4,6288;37;037/C/NBP/2014;
20140225;2,9987;2,6965;2,7059;4,1122;1,3278;3,3668;4,9775;2,9232;0,1503;0,5510;0,4964;0,4603;4,6223;38;038/C/NBP/2014;
20140226;2,9875;2,6970;2,6966;4,1120;1,3298;3,3719;4,9963;2,9265;0,1504;0,5510;0,4961;0,4606;4,6189;39;039/C/NBP/2014;
20140227;3,0187;2,7069;2,7169;4,1277;1,3283;3,3843;5,0245;2,9538;0,1510;0,5531;0,4977;0,4625;4,6454;40;040/C/NBP/2014;
20140228;3,0209;2,7002;2,7105;4,1345;1,3269;3,3978;5,0375;2,9586;0,1512;0,5540;0,4983;0,4626;4,6667;41;041/C/NBP/2014;
20140303;2,9871;2,6671;2,6948;4,1203;1,3296;3,3874;4,9888;2,9223;0,1507;0,5521;0,4985;0,4652;4,6158;42;042/C/NBP/2014;
20140304;3,0121;2,6853;2,7142;4,1471;1,3262;3,4171;5,0344;2,9682;0,1516;0,5557;0,4985;0,4673;4,6604;43;043/C/NBP/2014;
20140305;3,0144;2,6969;2,7212;4,1471;1,3354;3,4061;5,0295;2,9551;0,1516;0,5557;0,5021;0,4682;4,6574;44;044/C/NBP/2014;
20140306;3,0119;2,7030;2,7201;4,1369;1,3358;3,3925;5,0358;2,9408;0,1513;0,5544;0,5025;0,4680;4,6459;45;045/C/NBP/2014;
20140307;2,9894;2,7121;2,7201;4,1393;1,3382;3,3896;4,9985;2,9004;0,1514;0,5547;0,5007;0,4669;4,6526;46;046/C/NBP/2014;
20140310;2,9965;2,7251;2,7041;4,1565;1,3335;3,4076;5,0160;2,8964;0,1520;0,5570;0,5018;0,4690;4,6422;47;047/C/NBP/2014;
20140311;3,0090;2,7130;2,7089;4,1729;1,3354;3,4262;5,0074;2,9155;0,1526;0,5592;0,5031;0,4703;4,6552;48;048/C/NBP/2014;
20140312;3,0114;2,7221;2,7176;4,1753;1,3361;3,4288;5,0073;2,9153;0,1527;0,5595;0,5065;0,4730;4,6647;49;049/C/NBP/2014;
20140313;3,0134;2,7023;2,7049;4,1847;1,3357;3,4416;5,0050;2,9322;0,1530;0,5607;0,5051;0,4721;4,6666;50;050/C/NBP/2014;
20140314;3,0046;2,7302;2,7162;4,1862;1,3401;3,4467;5,0126;2,9363;0,1531;0,5608;0,5071;0,4731;4,6653;51;051/C/NBP/2014;
20140317;3,0173;2,7263;2,7219;4,1999;1,3407;3,4638;5,0136;2,9789;0,1535;0,5627;0,5058;0,4731;4,6913;52;052/C/NBP/2014;
20140318;3,0012;2,7262;2,7117;4,1801;1,3395;3,4405;4,9962;2,9536;0,1527;0,5600;0,5049;0,4722;4,6691;53;053/C/NBP/2014;
20140319;2,9987;2,7356;2,7120;4,1649;1,3405;3,4223;4,9648;2,9566;0,1521;0,5580;0,5015;0,4723;4,6445;54;054/C/NBP/2014;
20140320;2,9873;2,7195;2,6697;4,1551;1,3388;3,4138;4,9649;2,9414;0,1511;0,5567;0,4990;0,4702;4,6383;55;055/C/NBP/2014;
20140321;3,0200;2,7272;2,6825;4,1591;1,3318;3,4120;4,9813;2,9486;0,1514;0,5572;0,4968;0,4701;4,6665;56;056/C/NBP/2014;
20140324;3,0094;2,7352;2,6834;4,1544;1,3271;3,4105;4,9641;2,9426;0,1513;0,5566;0,4968;0,4688;4,6579;57;057/C/NBP/2014;
20140325;3,0166;2,7524;2,6904;4,1561;1,3266;3,4102;4,9715;2,9502;0,1516;0,5568;0,4980;0,4688;4,6569;58;058/C/NBP/2014;
20140326;3,0076;2,7510;2,6903;4,1491;1,3306;3,4021;4,9714;2,9419;0,1515;0,5558;0,4978;0,4685;4,6503;59;059/C/NBP/2014;
20140327;2,9982;2,7671;2,6873;4,1351;1,3263;3,3861;4,9656;2,9302;0,1508;0,5539;0,4961;0,4646;4,6331;60;060/C/NBP/2014;
20140328;2,9981;2,7773;2,7099;4,1258;1,3267;3,3873;4,9886;2,9352;0,1507;0,5526;0,5002;0,4637;4,6337;61;061/C/NBP/2014;
20140331;3,0032;2,7792;2,7171;4,1302;1,3355;3,3864;4,9969;2,9227;0,1506;0,5532;0,5005;0,4620;4,6340;62;062/C/NBP/2014;
20140401;2,9924;2,7669;2,7143;4,1277;1,3433;3,3856;4,9779;2,8977;0,1504;0,5529;0,4995;0,4614;4,6272;63;063/C/NBP/2014;
20140402;2,9969;2,7692;2,7126;4,1369;1,3471;3,3961;4,9890;2,8968;0,1507;0,5542;0,5021;0,4642;4,6357;64;064/C/NBP/2014;
20140403;3,0002;2,7744;2,7185;4,1347;1,3447;3,3904;4,9928;2,8938;0,1508;0,5539;0,5034;0,4641;4,6296;65;065/C/NBP/2014;
20140404;3,0056;2,7745;2,7269;4,1220;1,3425;3,3716;4,9828;2,8877;0,1503;0,5522;0,5013;0,4603;4,6154;66;066/C/NBP/2014;
20140407;3,0117;2,7955;2,7424;4,1238;1,3475;3,3719;4,9914;2,9053;0,1503;0,5524;0,5020;0,4602;4,6362;67;067/C/NBP/2014;
20140408;3,0081;2,7865;2,7386;4,1334;1,3466;3,3885;4,9978;2,9157;0,1508;0,5536;0,5018;0,4604;4,6437;68;068/C/NBP/2014;
20140409;2,9907;2,7933;2,7332;4,1265;1,3547;3,3835;5,0073;2,9267;0,1505;0,5527;0,5007;0,4604;4,6307;69;069/C/NBP/2014;
20140410;2,9893;2,7959;2,7351;4,1288;1,3508;3,3914;5,0076;2,9328;0,1506;0,5530;0,5023;0,4596;4,6345;70;070/C/NBP/2014;
20140411;2,9795;2,8033;2,7310;4,1313;1,3538;3,3919;4,9954;2,9282;0,1506;0,5533;0,5028;0,4563;4,6239;71;071/C/NBP/2014;
20140414;2,9831;2,8051;2,7225;4,1410;1,3501;3,4058;4,9912;2,9378;0,1509;0,5546;0,5026;0,4569;4,6348;72;072/C/NBP/2014;
20140415;2,9977;2,8215;2,7343;4,1441;1,3486;3,4112;5,0146;2,9475;0,1509;0,5550;0,5022;0,4567;4,6444;73;073/C/NBP/2014;
20140416;3,0039;2,8100;2,7303;4,1463;1,3486;3,4100;5,0277;2,9468;0,1510;0,5553;0,5040;0,4565;4,6502;74;074/C/NBP/2014;
20140417;3,0056;2,8155;2,7375;4,1549;1,3457;3,4139;5,0485;2,9393;0,1512;0,5565;0,5037;0,4566;4,6534;75;075/C/NBP/2014;
20140418;2,9954;2,8010;2,7233;4,1445;1,3495;3,4014;5,0362;2,9309;0,1507;0,5551;0,5011;0,4551;4,6400;76;076/C/NBP/2014;
20140422;2,9962;2,7958;2,7213;4,1402;1,3495;3,3950;5,0281;2,9254;0,1509;0,5545;0,5007;0,4540;4,6352;77;077/C/NBP/2014;
20140423;3,0042;2,8138;2,7279;4,1491;1,3523;3,3971;5,0543;2,9286;0,1511;0,5557;0,5027;0,4571;4,6518;78;078/C/NBP/2014;
20140424;3,0002;2,7825;2,7160;4,1501;1,3486;3,4024;5,0380;2,9314;0,1511;0,5559;0,5009;0,4565;4,6513;79;079/C/NBP/2014;
20140425;3,0056;2,7839;2,7250;4,1530;1,3437;3,4053;5,0484;2,9412;0,1514;0,5562;0,5011;0,4577;4,6550;80;080/C/NBP/2014;
20140428;3,0079;2,7925;2,7279;4,1643;1,3437;3,4165;5,0593;2,9486;0,1518;0,5579;0,5021;0,4573;4,6682;81;081/C/NBP/2014;
20140429;3,0051;2,7842;2,7256;4,1654;1,3468;3,4191;5,0582;2,9339;0,1518;0,5581;0,5011;0,4602;4,6635;82;082/C/NBP/2014;
20140430;3,0060;2,7892;2,7421;4,1557;1,3479;3,4051;5,0599;2,9283;0,1515;0,5568;0,5016;0,4588;4,6526;83;083/C/NBP/2014;
20140502;3,0012;2,7785;2,7341;4,1588;1,3511;3,4087;5,0591;2,9334;0,1514;0,5572;0,5022;0,4595;4,6642;84;084/C/NBP/2014;
20140505;2,9986;2,7801;2,7330;4,1570;1,3549;3,4098;5,0637;2,9266;0,1514;0,5569;0,5038;0,4606;4,6513;85;085/C/NBP/2014;
20140506;3,0009;2,7791;2,7333;4,1639;1,3517;3,4193;5,0598;2,9395;0,1518;0,5579;0,5036;0,4582;4,6605;86;086/C/NBP/2014;
20140507;2,9867;2,7940;2,7391;4,1617;1,3546;3,4204;5,0752;2,9397;0,1517;0,5576;0,5047;0,4591;4,6455;87;087/C/NBP/2014;
20140508;2,9776;2,7782;2,7328;4,1492;1,3602;3,4037;5,0544;2,9246;0,1513;0,5559;0,5042;0,4583;4,6378;88;088/C/NBP/2014;
20140509;2,9853;2,8014;2,7451;4,1412;1,3645;3,3993;5,0632;2,9334;0,1511;0,5548;0,5077;0,4593;4,6209;89;089/C/NBP/2014;
20140512;3,0061;2,8146;2,7591;4,1441;1,3612;3,3988;5,0674;2,9551;0,1513;0,5552;0,5084;0,4588;4,6618;90;090/C/NBP/2014;
20140513;3,0056;2,8167;2,7614;4,1372;1,3639;3,3869;5,0757;2,9448;0,1510;0,5543;0,5081;0,4585;4,6530;91;091/C/NBP/2014;
20140514;3,0163;2,8286;2,7700;4,1402;1,3645;3,3953;5,0806;2,9548;0,1510;0,5547;0,5094;0,4607;4,6564;92;092/C/NBP/2014;
