data;1USD;1AUD;1CAD;1EUR;100HUF;1CHF;1GBP;100JPY;1CZK;1DKK;1NOK;1SEK;1XDR;nr tabeli;pe³ny numer tabeli;
;dolar amerykañski;dolar australijski;dolar kanadyjski;euro;forint (Wêgry);frank szwajcarski;funt szterling;jen (Japonia);korona czeska;korona duñska;korona norweska;korona szwedzka;SDR (MFW);
20150102;3,4721;2,8448;2,9952;4,2197;1,3403;3,5093;5,4102;2,9059;0,1522;0,5668;0,4688;0,4487;5,0260;1;001/C/NBP/2015;
20150105;3,5368;2,8802;3,0331;4,2647;1,3377;3,5475;5,4743;2,9374;0,1538;0,5730;0,4713;0,4502;5,0892;2;002/C/NBP/2015;
20150107;3,5650;2,8850;3,0280;4,2552;1,3356;3,5416;5,4310;2,9840;0,1537;0,5719;0,4675;0,4491;5,1195;3;003/C/NBP/2015;
20150108;3,6064;2,9017;3,0447;4,2620;1,3342;3,5488;5,4388;3,0174;0,1534;0,5728;0,4670;0,4528;5,1265;4;004/C/NBP/2015;
20150109;3,5992;2,9205;3,0454;4,2453;1,3392;3,5347;5,4299;3,0108;0,1521;0,5706;0,4700;0,4475;5,1291;5;005/C/NBP/2015;
20150112;3,5767;2,9237;3,0139;4,2154;1,3323;3,5099;5,4093;3,0021;0,1494;0,5666;0,4660;0,4443;5,1000;6;006/C/NBP/2015;
20150113;3,5791;2,9179;3,0056;4,2376;1,3293;3,5286;5,4297;3,0240;0,1493;0,5695;0,4627;0,4427;5,1288;7;007/C/NBP/2015;
20150114;3,6063;2,9363;3,0209;4,2412;1,3304;3,5312;5,4640;3,0405;0,1492;0,5700;0,4654;0,4479;5,1436;8;008/C/NBP/2015;
20150115;3,5997;2,9334;3,0152;4,2441;1,3245;3,5340;5,4777;3,0872;0,1506;0,5705;0,4700;0,4464;5,1520;9;009/C/NBP/2015;
20150116;3,6525;3,0001;3,0622;4,2513;1,3248;4,1297;5,5550;3,1293;0,1521;0,5716;0,4759;0,4505;5,1835;10;010/C/NBP/2015;
20150119;3,7059;3,0289;3,0790;4,2776;1,3343;4,3254;5,6103;3,1644;0,1536;0,5754;0,4872;0,4564;5,2511;11;011/C/NBP/2015;
20150120;3,6833;3,0282;3,0740;4,2807;1,3398;4,2218;5,5836;3,1345;0,1534;0,5758;0,4819;0,4535;5,2548;12;012/C/NBP/2015;
20150121;3,7021;3,0312;3,0663;4,2892;1,3485;4,2526;5,6196;3,1245;0,1536;0,5769;0,4850;0,4535;5,2601;13;013/C/NBP/2015;
20150122;3,6602;3,0119;3,0347;4,2630;1,3543;4,2746;5,5375;3,1187;0,1524;0,5733;0,4848;0,4510;5,2233;14;014/C/NBP/2015;
20150123;3,6786;2,9852;2,9768;4,2164;1,3449;4,2657;5,5651;3,1318;0,1515;0,5665;0,4810;0,4501;5,1649;15;015/C/NBP/2015;
20150126;3,7115;2,9402;2,9900;4,1739;1,3469;4,2516;5,5700;3,1533;0,1501;0,5607;0,4790;0,4479;5,2229;16;016/C/NBP/2015;
20150127;3,7019;2,9310;2,9792;4,1721;1,3414;4,1412;5,5713;3,1300;0,1503;0,5602;0,4770;0,4468;5,2088;17;017/C/NBP/2015;
20150128;3,6860;2,9358;2,9710;4,1924;1,3450;4,1043;5,5947;3,1391;0,1505;0,5632;0,4769;0,4505;5,2165;18;018/C/NBP/2015;
20150129;3,7101;2,9516;2,9803;4,1956;1,3460;4,0987;5,6313;3,1474;0,1509;0,5636;0,4762;0,4511;5,2215;19;019/C/NBP/2015;
20150130;3,6843;2,8665;2,9334;4,1770;1,3432;4,0057;5,5719;3,1254;0,1502;0,5611;0,4736;0,4475;5,2012;20;020/C/NBP/2015;
20150202;3,6757;2,8490;2,8798;4,1555;1,3341;3,9591;5,5249;3,1248;0,1498;0,5582;0,4723;0,4451;5,1822;21;021/C/NBP/2015;
20150203;3,6455;2,8474;2,8954;4,1351;1,3305;3,9283;5,4904;3,1020;0,1490;0,5555;0,4756;0,4405;5,1568;22;022/C/NBP/2015;
20150204;3,6087;2,7809;2,8844;4,1299;1,3352;3,9031;5,4505;3,0693;0,1487;0,5547;0,4772;0,4384;5,1182;23;023/C/NBP/2015;
20150205;3,6130;2,8015;2,8873;4,1194;1,3366;3,8985;5,4962;3,0752;0,1485;0,5534;0,4779;0,4373;5,0976;24;024/C/NBP/2015;
20150206;3,6134;2,8145;2,8960;4,1272;1,3452;3,8951;5,5258;3,0762;0,1489;0,5542;0,4791;0,4369;5,1073;25;025/C/NBP/2015;
20150209;3,6333;2,8401;2,9126;4,1199;1,3446;3,9154;5,5438;3,0578;0,1488;0,5534;0,4809;0,4362;5,1116;26;026/C/NBP/2015;
20150210;3,6625;2,8627;2,9450;4,1497;1,3455;3,9702;5,5772;3,0847;0,1496;0,5575;0,4823;0,4383;5,1876;27;027/C/NBP/2015;
20150211;3,6751;2,8537;2,9327;4,1570;1,3440;3,9742;5,5983;3,0786;0,1500;0,5585;0,4853;0,4413;5,1797;28;028/C/NBP/2015;
20150212;3,7001;2,8521;2,9246;4,1794;1,3469;3,9904;5,6440;3,0766;0,1510;0,5614;0,4844;0,4407;5,2043;29;029/C/NBP/2015;
20150213;3,6354;2,8033;2,9141;4,1397;1,3525;3,9139;5,5851;3,0535;0,1494;0,5561;0,4735;0,4301;5,1549;30;030/C/NBP/2015;
20150216;3,6273;2,8179;2,9153;4,1405;1,3506;3,9023;5,5914;3,0505;0,1498;0,5563;0,4788;0,4313;5,1497;31;031/C/NBP/2015;
20150217;3,6267;2,8174;2,9057;4,1377;1,3499;3,8943;5,5764;3,0596;0,1498;0,5558;0,4798;0,4320;5,1462;32;032/C/NBP/2015;
20150218;3,6347;2,8375;2,9266;4,1441;1,3470;3,9009;5,5776;3,0574;0,1500;0,5567;0,4822;0,4353;5,1427;33;033/C/NBP/2015;
20150219;3,6501;2,8417;2,9308;4,1456;1,3512;3,8734;5,6311;3,0601;0,1511;0,5569;0,4850;0,4337;5,1531;34;034/C/NBP/2015;
20150220;3,6247;2,8200;2,8945;4,1220;1,3489;3,8270;5,5917;3,0462;0,1507;0,5536;0,4782;0,4312;5,1232;35;035/C/NBP/2015;
20150223;3,6668;2,8660;2,9209;4,1402;1,3513;3,8758;5,6302;3,0981;0,1508;0,5554;0,4827;0,4348;5,1720;36;036/C/NBP/2015;
20150224;3,6503;2,8493;2,9051;4,1372;1,3548;3,8547;5,6335;3,0714;0,1509;0,5541;0,4787;0,4330;5,1655;37;037/C/NBP/2015;
20150225;3,6508;2,8328;2,8854;4,1272;1,3500;3,8329;5,6264;3,0477;0,1503;0,5532;0,4789;0,4333;5,1530;38;038/C/NBP/2015;
20150226;3,6336;2,8650;2,9181;4,1235;1,3524;3,8284;5,6302;3,0537;0,1505;0,5522;0,4788;0,4360;5,1378;39;039/C/NBP/2015;
20150227;3,6606;2,8652;2,9301;4,1091;1,3566;3,8375;5,6440;3,0729;0,1493;0,5504;0,4800;0,4375;5,1347;40;040/C/NBP/2015;
20150302;3,6744;2,8667;2,9425;4,1109;1,3560;3,8711;5,6620;3,0780;0,1497;0,5507;0,4805;0,4395;5,1370;41;041/C/NBP/2015;
20150303;3,6696;2,8536;2,9220;4,1144;1,3515;3,8335;5,6455;3,0619;0,1498;0,5519;0,4779;0,4404;5,1519;42;042/C/NBP/2015;
20150304;3,6811;2,8858;2,9573;4,1223;1,3470;3,8411;5,6648;3,0821;0,1502;0,5530;0,4783;0,4453;5,1806;43;043/C/NBP/2015;
20150305;3,7236;2,9096;2,9706;4,1300;1,3476;3,8770;5,6930;3,1098;0,1502;0,5539;0,4781;0,4463;5,2057;44;044/C/NBP/2015;
20150306;3,7140;2,8950;2,9801;4,0979;1,3435;3,8338;5,6632;3,0942;0,1499;0,5497;0,4800;0,4449;5,1653;45;045/C/NBP/2015;
20150309;3,7623;2,9042;2,9826;4,0857;1,3396;3,8286;5,6691;3,1076;0,1497;0,5486;0,4784;0,4444;5,1876;46;046/C/NBP/2015;
20150310;3,7562;2,9023;2,9821;4,0751;1,3341;3,8125;5,6713;3,1027;0,1495;0,5469;0,4746;0,4428;5,2047;47;047/C/NBP/2015;
20150311;3,8174;2,9268;3,0272;4,1070;1,3362;3,8308;5,7573;3,1516;0,1505;0,5511;0,4730;0,4481;5,2805;48;048/C/NBP/2015;
20150312;3,8717;2,9322;3,0335;4,0951;1,3468;3,8427;5,7931;3,1915;0,1502;0,5492;0,4714;0,4481;5,3238;49;049/C/NBP/2015;
20150313;3,8455;2,9636;3,0350;4,0912;1,3498;3,8418;5,7469;3,1745;0,1498;0,5488;0,4752;0,4462;5,3057;50;050/C/NBP/2015;
20150316;3,9135;2,9889;3,0597;4,1164;1,3438;3,8846;5,7685;3,2288;0,1507;0,5519;0,4764;0,4506;5,3379;51;051/C/NBP/2015;
20150317;3,8697;2,9593;3,0196;4,0887;1,3464;3,8446;5,7172;3,1905;0,1500;0,5478;0,4680;0,4466;5,3028;52;052/C/NBP/2015;
20150318;3,8658;2,9512;3,0293;4,1040;1,3485;3,8532;5,7024;3,1865;0,1511;0,5501;0,4656;0,4464;5,2965;53;053/C/NBP/2015;
20150319;3,8655;2,9512;3,0212;4,1018;1,3497;3,8676;5,6685;3,1934;0,1505;0,5501;0,4611;0,4394;5,3081;54;054/C/NBP/2015;
20150320;3,8323;2,9236;3,0067;4,0818;1,3480;3,8650;5,6542;3,1727;0,1489;0,5479;0,4741;0,4410;5,2687;55;055/C/NBP/2015;
20150323;3,8019;2,9410;3,0132;4,0957;1,3444;3,8877;5,6504;3,1510;0,1491;0,5494;0,4722;0,4394;5,2344;56;056/C/NBP/2015;
20150324;3,7207;2,9182;2,9699;4,0649;1,3417;3,8462;5,5555;3,1081;0,1488;0,5452;0,4714;0,4380;5,1683;57;057/C/NBP/2015;
20150325;3,7224;2,9329;2,9729;4,0634;1,3515;3,8946;5,5374;3,1096;0,1483;0,5447;0,4729;0,4367;5,1631;58;058/C/NBP/2015;
20150326;3,6870;2,8975;2,9434;4,0441;1,3547;3,8455;5,4857;3,0838;0,1478;0,5415;0,4707;0,4340;5,1232;59;059/C/NBP/2015;
20150327;3,7070;2,9051;2,9696;4,0481;1,3477;3,8644;5,4979;3,1110;0,1474;0,5421;0,4710;0,4339;5,1379;60;060/C/NBP/2015;
20150330;3,7282;2,9005;2,9820;4,0550;1,3520;3,8772;5,5576;3,1302;0,1475;0,5430;0,4688;0,4352;5,1781;61;061/C/NBP/2015;
20150331;3,7439;2,8645;2,9566;4,0527;1,3536;3,8772;5,5315;3,1202;0,1474;0,5426;0,4676;0,4342;5,1700;62;062/C/NBP/2015;
20150401;3,7654;2,8597;2,9571;4,0412;1,3477;3,8650;5,5660;3,1360;0,1469;0,5410;0,4647;0,4350;5,1553;63;063/C/NBP/2015;
20150402;3,7439;2,8521;2,9585;4,0261;1,3481;3,8673;5,5391;3,1281;0,1463;0,5390;0,4634;0,4328;5,1651;64;064/C/NBP/2015;
